# step temp lx ly lz xy xz yz sxx syy szz sxy sxz syz
0 298 13.284104461053 13.4443309905151 23.0249466966368 -0.0101947440120306 -0.0219170631418167 -0.0645080106911357 -0.526086816233813 -0.01779433190995 -0.96882241632599 -0.107525956856831 -0.01024730014186 -0.189777757597478
2000 298 13.4117301322724 13.2039341858368 23.256351258042 0.00719693216719358 0.0131529919226536 0.0551166718969168 0.144184923884739 -0.570367646588186 -0.230268192428771 0.0128600880572734 0.0267954724300097 0.167484132361979
4000 298 13.1881445070387 13.3306894934778 23.4900814739534 -0.00848711786305658 -0.00545818668362338 -0.0976398041969679 -0.084901299449591 0.355306645865818 0.581348650287097 -0.0382378464661022 -0.020265025301585 -0.270918190801641
6000 298 13.1925511704897 13.2034159123838 23.7261607175874 0.00375783161416394 -0.0580449809741457 0.0390434902879968 -0.0502233307477101 0.0167876112664894 1.2322272907333 0.0270288398044618 -0.16534562664828 0.0994756311094594
8000 298 13.2507949942153 13.0448143727949 23.964612597065 0.0181458010595886 0.0491457442091073 0.0525614063222704 0.326216222856529 -0.311219084496642 2.04778046990991 0.100882260078929 0.131257050073796 0.129839685234044
10000 298 13.0171621783387 13.1534725080155 24.2054609577728 -0.021529075179395 0.00620652634222016 -0.0381526606051035 -0.394967865610302 0.07679695034702 2.75833689420509 -0.0678408715619338 0.0576859214539812 -0.153719429723256
12000 298 13.0694882777051 13.0503299381925 24.4487298847477 -0.0555216954358821 -0.0655628463340798 -0.0569786668267517 0.748390057942351 0.621866824025657 4.43510596780604 -0.231402415932907 -0.203892011382275 -0.209713218589724
14000 298 12.9824845972006 12.9760686296135 24.6944437050851 -0.0606358165741043 -0.0832405474870025 -0.00574215262203686 -0.429679774752692 -0.400344371561317 4.75406092460207 -0.239981831430944 -0.262619278629403 0.0137697810600663
16000 298 12.9658900470152 12.9103807551788 24.9426269903718 -0.0404721194823455 -0.0941323562421053 -0.0112737579155766 0.0109384887291145 -0.263122220145039 5.96779927307761 -0.121307649104887 -0.258431329746022 -0.0434640460213584
18000 298 12.8093003583413 12.9795618999813 25.1933045591432 -0.0450494607846028 -0.106558609952533 -0.0430270785097489 -0.461484079606197 0.182869208201453 7.02958628524304 -0.168750725121824 -0.298887666411984 -0.157178529746573
20000 298 12.9152150476849 12.770750693945 25.4465014793649 -0.0324995136596888 -0.0380480269388159 -0.0365513051683401 -0.0184087344805828 -0.527784355081464 7.95011109018233 -0.162916871390889 -0.128595910810526 -0.0865719282677202
22000 298 12.7546990142639 12.8590441395376 25.70224307094 0.0245422365583408 0.118736134191825 0.0468275409367307 -0.382419654459443 0.0497466753870816 8.99701981145386 0.0872257517477074 0.338444121139702 0.11829417061839
24000 298 12.7868575433268 12.7944536501062 25.9605549082409 0.0767215898441721 0.0517274920290144 0.0205890254509143 0.698764715236156 0.767009088936476 10.627940337021 0.272232891264324 0.169854129578641 0.039328776340732
26000 298 12.6902433409208 12.766216566483 26.2214628226664 -0.0512830397352683 -0.0793978901956682 0.0523045685797836 -0.169579524176035 0.0237441165950979 10.9531093799567 -0.154368849826505 -0.223379854254932 0.114229159108021
28000 298 12.7679324788393 12.5670211518711 26.4849929052255 0.0837711213115195 0.0649464352684183 -0.0837347360928874 -0.502326673478822 -1.05899740908732 11.2418918398219 0.24529582301407 0.200037633665083 -0.272896070619052
30000 298 12.6972865810531 12.5690168098659 26.751171509146 0.0640760306258889 0.0808472697145131 -0.0332578026529211 -0.280335114315189 -0.563428392089262 12.2038197419453 0.156293304365484 0.162856508650161 -0.154650894734797
32000 298 12.537449048102 12.6185656142817 27.0200252525102 0.0457146612125515 -0.0381996137969616 0.0078462389110514 -0.744872291709791 -0.466512135539622 12.2496477780334 0.080884088058062 -0.100726384418045 -0.0446896671057011
34000 298 12.5894266094892 12.4597498653165 27.2915810209163 -0.0802723718458742 -0.0575508907055043 0.0328179362337581 -0.592836618628121 -0.908271685462846 12.1475710372951 -0.14866961777 -0.124546741501593 0.0304432146967109
36000 298 12.4251507112287 12.5486712552547 27.5658659701676 0.709728409337169 -0.10655836895748 0.106475259014772 0.577058039824421 1.04871752142015 9.75771017674515 -0.0584507013236295 -0.282998415080859 0.170761108598797
38000 298 12.1633572868628 12.3273578166348 27.8429075289876 2.09495155530934 -1.28948874939634 -0.0529698949806137 -0.509962594831324 -0.639760562458261 -0.991219224813924 0.0922420419379568 -0.522098746285162 0.0543280573994639
40000 298 12.1495261329949 12.2801128162698 28.122733401763 2.16762908629532 -0.845827907493496 0.07751714398279 0.556797667519932 0.00241536094603987 0.260582638701057 0.272703104916366 0.177689406655357 0.292950653097272
