step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 5.86357988745839e-16 0.207054773995731 -0.543118547579046 -0.161549042500784 999.197637364845 15.6060849689622 15.5575950828526 72.7073988312034
2000 2 0.0500000000000006 1.39819793612485 -0.323699034079306 -0.588148600440637 976.940527222892 15.3139774894138 15.1824770977165 76.3427687727636
3000 3 0.100000000000001 3.1774551932713 0.589055293538056 0.210801461268482 986.139779409763 15.0404820508857 14.8699176413108 79.9781387143238
4000 4 0.15 3.44023096355278 0.135465406068266 -0.317209800928609 1006.73339058812 14.750099375596 14.5105702315634 83.6135086558839
5000 5 0.200000000000001 2.09289204400408 -0.330226392750155 -0.294971025262272 986.728650751756 14.4597298057008 14.1638187403473 87.2488785974441
6000 6 0.250000000000001 2.75122910715204 -0.0215168482939433 -0.568550858958714 1016.03871700435 14.1486793900108 13.9333071606293 90.8842485390043
7000 7 0.300000000000001 2.52637527862202 0.469422838876777 0.0801691369132236 1011.94189133992 14.050011412011 13.4816920479024 94.5196184805645
8000 8 0.35 2.43809126476559 -0.64363713278058 0.338697451329307 1004.25768547404 13.6962313816072 13.3158334957923 98.1549884221246
9000 9 0.400000000000001 2.13837347570068 0.578032194126045 0.374757030281366 1017.56321210867 13.6349565468672 12.90425479029 101.790358363685
10000 10 0.450000000000001 2.80741747621632 0.41710662249874 0.441684436569256 1006.15669024562 13.4595961059706 12.667896901994 105.425728305245
11000 11 0.500000000000001 1.95745326714662 0.153546881104314 0.303464466076459 982.172863116568 13.1337037744652 12.4471859631114 109.061098246805
