step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 2.05348628371122e-16 0.107233220174694 1.67859122474231 1.0736294261363 983.071573395778 16.4063801794956 16.0836561914843 69.2035531375404
2000 2 0.0500000000000002 0.76035601596589 -3.36884406232107 -2.55532888055282 987.60728967741 16.2139113176149 15.7375627331302 72.6637307944174
3000 3 0.1 -0.73887152158535 -2.84246310468569 -6.72664122212259 1022.15164658284 15.7752690854323 15.4117006477885 76.1239084512945
4000 4 0.15 5.15712802596195 3.42886071550059 -1.70666920831981 981.345880969062 15.2730661904466 15.2489936616829 79.5840861081715
5000 5 0.2 3.95931805403606 1.26536712682358 0.232628257453203 1012.35606919583 14.9738542367454 14.9173789518529 83.0442637650485
6000 6 0.25 7.36206010497431 3.08840618873826 -0.2810248461751 1005.74897200288 14.5502990727986 14.784214004883 86.5044414219255
7000 7 0.3 1.90456864465639 1.12702106360107 3.18320438854656 1049.25047920171 14.2436990939394 14.5466565586644 89.9646190788025
8000 8 0.35 7.72968337941065 2.37837470554717 -0.56866382528019 1030.59546476858 13.9219989997422 14.2459268946435 93.4247967356795
9000 9 0.4 -0.380585323872977 1.04810667984104 2.62232320976491 981.992588028695 13.8236976546383 13.8570521908001 96.8849743925566
10000 10 0.45 1.68658611516036 -1.6168839515738 0.311760617323844 1014.56726819766 13.621566696698 13.4870462178552 100.345152049434
11000 11 0.5 1.20250706909044 -1.89499435964533 2.93880911655074 1047.11066150789 13.3161660808262 13.4080194342446 103.805329706311
