step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 -9.06391017191778e-16 -0.365219828417502 -0.680643876737981 1.13137953385396 304.365786801126 15.9221019761214 36.4393450264113 31.3570069554103
2000 2 0.0049999999999991 0.396587667210689 0.0165543362674217 0.0662761185031455 300.009695748672 17.0128244184853 34.0546605826634 31.5137919901873
3000 3 0.0099999999999991 1.17946392859606 0.069098550003163 -0.0673711471475407 298.18312443739 17.3460283144064 33.2621299991684 31.6705770249644
4000 4 0.0149999999999991 1.23842788254808 0.034533716552406 -0.143201370807657 302.496643705365 17.4255020976313 32.9455587775033 31.8273620597414
5000 5 0.0199999999999991 1.11981137757757 0.157675665910613 -0.0792567680212287 293.1083841054 17.5178572378655 32.5682016501981 31.9841470945185
6000 6 0.0249999999999991 1.48921532026364 -0.0756813270395597 -0.213553085111616 302.907493377832 17.4764852598408 32.4986416007697 32.1409321292955
7000 7 0.0299999999999991 1.67244133280718 0.00449950721118803 -0.172256404363009 298.998015925988 17.4439437590797 32.4062959013172 32.2977171640726
8000 8 0.0349999999999991 2.22967816270082 0.423016574292606 0.483196392554582 307.047008383203 17.4356473546342 32.3923680794888 32.4545021988496
9000 9 0.0399999999999991 1.81829909953941 -0.123622878376684 -0.393976962511142 290.676477766678 17.3787468305242 32.1817382516502 32.6112872336267
10000 10 0.0449999999999991 2.10574882141709 -0.148414895355936 -0.130746548096558 304.773235360906 17.4070622398941 32.0713029459887 32.7680722684037
11000 11 0.0499999999999991 2.34752892882505 -0.500706764804369 -0.052369665014005 303.923544314247 17.33358021122 32.0280516540647 32.9248573031808
12000 12 0.0549999999999991 2.48320088717799 -0.255357229809586 -0.374000284194011 296.325014967103 17.3610422000777 31.8206899945082 33.0816423379578
13000 13 0.0599999999999992 2.67864402491905 -0.0897630884541697 -0.301586626025509 305.557417518107 17.357413266217 31.7652896391879 33.2384273727349
14000 14 0.0649999999999989 2.56762294741292 -0.118490080026751 -0.351932263165916 308.777389821428 17.3599138024832 31.5792414930283 33.3952124075119
15000 15 0.0699999999999992 2.28853501248358 -0.0269972943228748 -0.16618876624486 300.420948227376 17.3381187838173 31.4566650809896 33.551997442289
16000 16 0.0749999999999989 2.21791589246049 0.204521114028743 0.164981998202101 307.214735773345 17.3885321355761 31.288594764413 33.708782477066
17000 17 0.0799999999999989 1.79085739347371 0.406016534695711 0.215876276943379 300.983676752969 17.4720050828931 30.9465877297201 33.8655675118431
18000 18 0.0849999999999989 1.5985341127792 0.364293973031835 0.0539855008583044 292.934235886218 17.4161005936839 30.895867763819 34.0223525466201
19000 19 0.0899999999999989 0.348435293238745 -0.332430968079964 -0.202790066346417 297.229216540942 17.3857766981631 30.6185098785349 34.1791375813972
20000 20 0.0949999999999989 -0.0727042619830667 -0.334175902610354 -0.398397463196036 310.754379872942 17.4840995137826 30.2620804096458 34.3359226161742
21000 21 0.099999999999999 0.430465835245498 0.0670435833911485 0.156244550575848 289.656023132861 17.5040228022161 30.1466850790636 34.4927076509513
22000 22 0.104999999999999 0.0178813009884835 0.0615570665930936 -0.235113127583777 287.275700125054 17.5755554504634 29.8054873357126 34.6494926857283
23000 23 0.109999999999999 0.371902044220192 -0.0716150515806017 0.120945809047655 298.858989111209 17.593054586788 29.686949112775 34.8062777205054
24000 24 0.114999999999999 0.441010759599216 0.283083275176466 0.180706822129794 295.568774563895 17.6997111073498 29.4026588793258 34.9630627552825
25000 25 0.119999999999999 0.363899845983391 -0.101866509454849 0.0898949477253364 295.418333264868 17.656334213214 29.2631119272942 35.1198477900595
26000 26 0.124999999999999 0.4556016760886 0.292289629764279 0.32321168976295 304.360816634891 17.7618741597269 29.012489081485 35.2766328248366
27000 27 0.129999999999999 0.47320910366844 0.471291333379407 0.0970748401405594 298.850117510554 17.8539129003919 28.7078491582908 35.4334178596136
28000 28 0.134999999999999 0.818180749955042 0.561945055604352 0.459373930976641 300.012071622659 17.855210501104 28.5879461280585 35.5902028943907
29000 29 0.139999999999999 1.4382971150221 0.42075519372903 0.552787453944419 303.18838374932 17.7855264923615 28.6432164766274 35.7469879291677
30000 30 0.144999999999999 1.29160849593629 0.541366023588875 0.21823920170186 301.723489409988 17.8499231096414 28.3563682737231 35.9037729639448
31000 31 0.149999999999999 1.55626654051637 0.265760629403513 0.413039480069069 283.490867831872 17.892114693563 28.1994678148083 36.0605579987218
32000 32 0.154999999999999 1.52641686419417 0.0477969996765958 -0.189832333089132 305.31594273553 17.8670463883294 28.0737712674874 36.2173430334989
33000 33 0.159999999999999 2.07317360779165 0.274966400755721 -0.0178702675845208 294.045727260018 17.9503955771636 27.8652088785229 36.3741280682759
34000 34 0.164999999999999 2.38503645806553 0.343049838880611 -0.027748615738176 303.892212725456 17.9715532045389 27.755632614265 36.530913103053
35000 35 0.169999999999999 2.79887569360803 0.0525082706343864 0.293882306566502 294.678081973706 17.9363365995327 27.6797578767914 36.68769813783
36000 36 0.174999999999999 2.89676617340039 -0.0803535918315274 0.206893822189239 299.15667297413 17.9578735035767 27.5099328364392 36.8444831726071
37000 37 0.179999999999999 2.57910720640998 0.293249475123528 0.134968487584692 307.159850954644 18.0673512562653 27.2198073917517 37.0012682073841
38000 38 0.184999999999999 2.83023693349348 0.246712821288245 0.167472566417505 286.32469795658 18.0476092496181 27.1467695383832 37.1580532421612
39000 39 0.189999999999999 2.86059599367553 -0.0317832630077619 0.102053387160648 307.421533787331 18.0943553949483 26.9180521258064 37.3148382769382
40000 40 0.194999999999999 3.19329965335017 0.0959627134899254 0.226503186705506 296.393601593384 18.0685935986682 26.9018853393466 37.4716233117153
41000 41 0.199999999999999 3.63164662668863 0.104445537269105 -0.135628572961662 304.397947998588 18.0778110691052 26.7937603860947 37.6284083464923
42000 42 0.204999999999999 3.66357861934371 -0.240497302734729 -0.265947829556799 283.970344085316 18.0205797118082 26.734976585179 37.7851933812694
43000 43 0.209999999999999 3.97923463799999 -0.44541205266734 0.0537916927590503 288.279366272029 17.971886668595 26.7165776012191 37.9419784160464
44000 44 0.214999999999999 3.4640630354325 0.000791727161028726 -0.128760147268308 301.576009366293 18.0064101862469 26.5734058447902 38.0987634508235
45000 45 0.219999999999999 3.86392350522971 -0.335011710379656 -0.0607599234571294 308.785455476961 17.9384894858617 26.599520724304 38.2555484856005
46000 46 0.224999999999999 3.05120171860654 -0.294382874153912 -0.367576913949638 299.93922905907 17.9722728697226 26.3701020153812 38.4123335203776
47000 47 0.229999999999999 3.44858425804478 -0.00297003336893711 0.147298169737654 299.537608125468 17.9685000891374 26.3320067907359 38.5691185551546
48000 48 0.234999999999999 3.17375044490187 0.0104024312085336 -0.156908941696071 307.320704964304 17.970375468136 26.2188625327771 38.7259035899317
49000 49 0.239999999999999 3.14235950864122 -0.137496252302565 0.314145961888533 296.226166268583 17.9925929119966 26.0614136897423 38.8826886247087
50000 50 0.244999999999999 2.78697556700676 -0.0596868756820232 0.0777193030208426 301.751788771369 17.9378145545147 26.0257857209781 39.0394736594858
51000 51 0.249999999999999 2.84457107733641 -0.207761436018169 -0.17017945737255 295.796994556404 17.9447966606084 25.8770405780987 39.1962586942628
52000 52 0.254999999999999 2.12643581944856 -0.128334042917906 -0.379601042725 316.617970054284 18.1192630620795 25.4385296379102 39.3530437290399
53000 53 0.259999999999999 2.13746569921272 -0.539274175669828 -0.161612293896187 303.082861869621 18.0111736166088 25.4878434619083 39.5098287638169
54000 54 0.264999999999999 2.73057006976454 0.0496979766306213 0.116174183108795 308.030440254998 18.0524885351444 25.4112770134398 39.666613798594
55000 55 0.269999999999999 3.15566873131081 0.0965109025609599 0.361134999549176 318.963376083739 18.0597159545253 25.3495652073443 39.823398833371
56000 56 0.274999999999999 3.50788708666103 0.475138443106626 0.226015929925854 284.165193870393 18.0899178424051 25.2204664111548 39.9801838681481
57000 57 0.279999999999999 3.46644134272296 0.181030349649269 0.295357289761122 312.107958085598 18.0356905193156 25.183878812309 40.1369689029251
58000 58 0.284999999999999 2.5647034546101 0.102325300064504 -0.00255323270414445 287.247033845568 18.0601841911381 24.9836095971236 40.2937539377022
