# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0/Ni/fcc_100/stress_info.dat
# axis z
# fit_points 5
# l0 42.35877902354382
# strain stress
0.0000000000e+00 0.0000000000e+00
8.7645311004e-03 1.0279571351e+00
1.8902783187e-02 2.1779978236e+00
2.9142926400e-02 3.3806562384e+00
3.9485984764e-02 4.6416207474e+00
4.9932992592e-02 5.8310727366e+00
6.0484994595e-02 7.1170501711e+00
7.1143045981e-02 8.4603455725e+00
8.1908212564e-02 9.7826790852e+00
9.2781570870e-02 1.1195631192e+01
1.0376420824e-01 1.2482770373e+01
1.1485722296e-01 1.3748787199e+01
1.2606172432e-01 1.5091886122e+01
1.3737883280e-01 1.6196643814e+01
1.4880968011e-01 1.6926237233e+01
1.6035540934e-01 1.4870817607e+01
1.7201717508e-01 1.0631032408e+01
1.8379614352e-01 9.5833663082e+00
1.9569349255e-01 7.5356789750e+00
2.0771041193e-01 7.8028613815e+00
2.1984810336e-01 8.6914839049e+00
