# step temp lx ly lz xy xz yz sxx syy szz sxy sxz syz
0 298 12.9909250275466 11.2218295916602 20.6934503232751 0.00945553440140137 0.0356229822696354 -0.00616818849648569 0.808833342624195 0.202218312561731 -0.294419975875453 0.115044965456742 0.0592708058539644 -0.00628364776597354
2000 298 12.8437528030294 11.1630972571069 20.901422956572 0.128874414464776 -0.047626297856771 -0.0546032335796567 -0.691719684538863 -0.434981130398382 0.313122249546578 0.41651721122965 -0.0772200652501235 -0.0955279503253295
4000 298 12.8687362772158 11.1311105445468 21.1114857495824 0.227026734377032 0.0698167882011347 0.029012637997934 0.109153805865082 0.18227758178213 2.3069051822045 0.757309086486678 0.0329063687919724 0.0413700813033193
6000 298 12.7658878677355 11.0998893886566 21.3236597087607 0.0418076371108407 -0.0011871914571416 -0.00871288601801879 -0.439948133999077 0.132467707293893 3.16280468906481 0.130639625886795 -0.0443177625631078 -0.0246958253433297
8000 298 12.8527672815246 11.0321908014839 21.5379660516797 -0.0695953374809322 -0.0657387735163172 -0.181050984769533 0.786373645239723 0.102545560638823 4.79670518543983 -0.28409318506502 -0.0833851761920814 -0.16196564122309
10000 298 12.7836645343091 11.0164670771589 21.7544262091522 -0.096707652390616 -0.0387449220482563 0.116756559976926 0.690116180554157 0.176511515198438 5.61108929350759 -0.202329698288936 -0.0664543817830278 0.1156708179171
12000 298 12.6540473166362 10.9438418216515 21.9730618273744 -0.112187744721432 -0.158367532428209 -0.315066837081145 -0.156253415702799 -0.255894258362982 6.16166533026672 -0.135481128734124 -0.129335127231112 -0.284899807205337
14000 298 12.612483093792 10.933019207636 22.1938947700903 0.049794638396386 -0.00677602605016503 0.318993502862882 -0.232015492001497 -0.255247789091694 7.02515936780299 0.0995818886389508 -0.0113135128905371 0.331398083623063
16000 298 12.5110524196441 10.9717590908755 22.4169471207781 -0.00279353680853031 0.0597681296278513 -0.0212733048288534 -0.124046658780231 0.322214259559445 7.88600891600867 0.0857188607937671 0.0130336342831334 -0.0127934355208286
18000 298 12.5353114594003 10.8080040991668 22.6422411848589 0.0345568064019204 -0.37943594921241 -0.26875142957293 -0.117138130858486 -0.905261593874126 8.10998123515985 0.0920319824682232 -0.223326556092765 -0.15951282987129
20000 298 12.5510897767899 10.8226479506391 22.8697994919268 0.0376434490957673 0.183545494771521 0.24642759050657 0.317620561063932 0.109500813879282 9.03851191370997 0.000739553510043515 0.182496248881178 0.185886755460099
22000 298 12.8679791018427 10.283674403947 23.099644798002 0.0173788128977857 -0.0319362126778129 0.0667823243216824 1.07995798101731 0.141185742635221 3.20137988297172 0.0482240801959404 -0.0674886655129908 0.0445353924962542
24000 298 12.5714096616386 10.3265135234236 23.3318000878069 0.00549017942590791 -0.0384304891522995 -0.00307722156001096 -0.111447934863984 0.489652373538783 2.88350304882092 0.0332743437708172 -0.0299703422445764 0.0321213823307167
26000 298 12.7916718382582 10.1847044149229 23.5662885770638 0.00469744472577857 0.0132286977395095 -0.0608661127107418 0.0952487507148595 -0.449896344090487 5.51744458420513 0.00449730618507439 0.0357284010603274 -0.0747955548735662
28000 298 12.3570913928621 10.2095681141054 23.803133714817 -0.0730397243256229 -0.155022449106424 0.119954782600976 -0.790476873681045 -0.510520617897608 2.85341035267592 -0.18501037683166 0.0122754499042171 0.0637605896632776
30000 298 12.6739036693342 10.1032429908539 24.0423591857777 0.0406558318719861 -0.203936775038177 0.0704786325845953 0.585402430704696 -0.155334358907895 5.63712916300957 0.14398473634624 -0.307929660695828 0.0675705478972664
32000 298 12.3180930398925 10.1283026092185 24.2839889126923 -0.0232497227316323 -0.399971016665623 -0.123728422358856 -0.410239463735412 -0.084353795907121 4.35545396621911 -0.0258314489179596 -0.148810556818855 -0.144083556329453
34000 298 12.4057686065582 10.0013202426139 24.528047058735 -0.0158316578772784 -0.733683561869395 -0.144085639549763 -0.0717193261524716 -0.120512716721053 4.79172822909186 -0.0308672729052198 0.172305291107546 -0.148044707885423
36000 298 12.7799835013926 9.27123238195214 24.7745580299236 -0.00804801443532328 -0.542064395013362 -0.038069678315645 -0.14319719217963 -0.169235425033541 -2.85496481410536 -0.0288081841760552 -0.365984297147071 -0.0762055751205657
38000 298 12.6957770013429 9.20967259617488 25.0235464775607 -0.0370745819385462 -0.25834913690622 -0.0614697308649833 -1.17764517663947 -0.60214317861269 -2.40776061590596 -0.167461154545105 -0.190179200383073 -0.0436719623194844
40000 298 12.7863880385747 9.10720486645484 25.2750373006987 -0.00664769297875222 -0.0353084436625314 0.000191765396264712 -0.525673098530417 -0.677363943407132 -1.62246461900082 -0.0201256101041863 -0.00711132723166937 -0.073846962657602
