step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 0 -0.569135160479783 -0.572679103977806 -0.895337351750227 983.859027175733 14.865108763219 14.865214997489 29.7301431459899
2000 2 0.0499999999999999 2.1979611391177 0.232221356132367 0.162283382244178 1008.79050803067 14.5287013534193 14.7355266298586 31.2166503032894
3000 3 0.1 1.97447501995881 0.94936786826538 0.708107413954964 1033.04862233129 13.6226377187762 15.2113564476556 32.7031574605889
4000 4 0.15 1.69353993278482 0.244416965397165 0.169090199988285 961.552088195063 13.3446929447203 14.746230386607 34.1896646178884
5000 5 0.2 3.85059684391075 3.21025455165203 1.41884747106565 964.994156970076 13.1926658409756 14.2519737699965 35.6761717751879
6000 6 0.25 1.11282205515276 0.402357147518501 -0.532985191631255 1050.70344641881 12.80054986542 13.9258107763482 37.1626789324874
7000 7 0.3 1.73977507934871 0.392758329774112 0.861420546359677 1036.64983589848 12.7604439819686 13.5668880474184 38.6491860897869
8000 8 0.35 3.38774231904513 -0.251206755300258 2.79348686298958 1000.82600629306 12.6083638420762 13.1184554019089 40.1356932470864
9000 9 0.4 0.970774812058282 0.148076194997162 -0.77132865228124 1059.09786390736 12.4921349682322 12.9295629841295 41.6222004043859
10000 10 0.45 2.7847038462192 -0.839432077458442 -0.810422267123524 935.634750183541 12.0493557207052 12.8875481887477 43.1087075616853
11000 11 0.5 3.87382388951798 -1.86525058003534 -2.199844923271 950.434455221129 11.8013908868835 12.7203324823892 44.5952147189848
