# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
36 2.13 0 0
37 2.19 0.0399589 0.0078125
38 2.25 0.189282 0.046875
39 2.31 0.502816 0.15625
40 2.37 0.5118 0.273438
41 2.43 1.1035 0.539062
42 2.49 1.51463 0.921875
43 2.55 1.56208 1.33594
44 2.61 1.57549 1.77344
45 2.67 2.17758 2.40625
46 2.73 2.82865 3.26562
47 2.79 1.82195 3.84375
48 2.85 2.50109 4.67188
49 2.91 1.90111 5.32812
50 2.97 1.97716 6.03906
51 3.03 1.96226 6.77344
52 3.09 2.12767 7.60156
53 3.15 1.69972 8.28906
54 3.21 1.45078 8.89844
55 3.27 1.41595 9.51562
56 3.33 1.037 9.98438
57 3.39 1.0173 10.4609
58 3.45 0.772896 10.8359
59 3.51 0.82448 11.25
60 3.57 0.616547 11.5703
61 3.63 0.610879 11.8984
62 3.69 0.577099 12.2188
63 3.75 0.55878 12.5391
64 3.81 0.646943 12.9219
65 3.87 0.563055 13.2656
66 3.93 0.496359 13.5781
67 3.99 0.577852 13.9531
68 4.05 0.49075 14.2812
69 4.11 0.533256 14.6484
70 4.17 0.70539 15.1484
71 4.23 0.546275 15.5469
72 4.29 0.728963 16.0938
73 4.35 0.749506 16.6719
74 4.41 0.709541 17.2344
75 4.47 0.892053 17.9609
76 4.53 0.961974 18.7656
77 4.59 0.973377 19.6016
78 4.65 1.01047 20.4922
79 4.71 1.07128 21.4609
80 4.77 1.14558 22.5234
81 4.83 1.14194 23.6094
82 4.89 1.13012 24.7109
83 4.95 1.17329 25.8828
84 5.01 1.29807 27.2109
85 5.07 1.31226 28.5859
86 5.13 1.20892 29.8828
87 5.19 1.30209 31.3125
88 5.25 1.25164 32.7188
89 5.31 1.33906 34.2578
90 5.37 1.21626 35.6875
91 5.43 1.10503 37.0156
92 5.49 1.17639 38.4609
93 5.55 1.07643 39.8125
94 5.61 1.12051 41.25
95 5.67 1.05519 42.6328
