# step temp lx ly lz xy xz yz sxx syy szz sxy sxz syz
0 298 13.3015465824456 13.3059900627144 23.2858682809676 -0.0309085499628677 0.0243993109322272 -0.0177866781706491 1.07386607540155 1.062208893309 1.12563307299153 0.00175304092546996 -0.00390132502140146 -0.0459271451545664
2000 298 13.2511930578973 13.2217512730175 23.5198951478913 -0.012580106379262 -0.0323206107575479 0.00819979748221237 0.601932665382752 0.461553931381423 1.95135742605482 0.0153651957417402 -0.0330598739306072 -0.046194691215986
4000 298 13.151100131223 13.1499707807463 23.7562740239297 0.0158274029787513 0.183667866866789 0.170619828777024 -0.545818019339789 -0.495178634861024 2.49914402504254 0.00454628190475636 0.171269720395337 0.0703398631886718
6000 298 13.0906198296267 13.1173340464371 23.9950285471675 -0.0890658287836102 -0.145471160681463 0.00432643244303415 -0.531052712998046 -0.370857740299075 3.86441617995219 -0.0681469951105071 -0.0826728362316083 -0.0459141498101398
8000 298 13.0454415470598 13.062785540529 24.2361825932559 0.0804567162900627 0.0023813149487189 -0.0753106612633456 -0.76167478744482 -0.61364329437681 5.09588342134278 0.0299880403994523 0.0213662024507119 -0.0556954182756955
10000 298 12.9971786959423 13.0291696031149 24.4797602778005 0.208587970502059 0.279459188460933 0.258656686455287 -0.726924273661375 -0.445915656785729 6.51103203917156 0.0689117154099242 0.203307490893322 0.17729671918753
12000 298 12.9851738083315 12.9750202365884 24.7257859587728 0.0529436937261098 0.0878567220314845 0.352652846953836 -0.19819222217403 -0.279166441931467 8.08113939334918 0.024694643687715 0.0401751511044944 0.258802250256097
14000 298 12.9485731133561 12.9703026192955 24.9742842389458 0.105708691595885 0.0283268788318335 0.262440217866844 0.251435312939769 0.440045004482056 9.76017341852645 -0.0130006569509876 0.0771564154781236 0.18381276308754
16000 298 12.9270176093741 12.9339509879605 25.2252799683547 0.115475352154864 0.0388739042027068 0.293922794824765 0.574909847873677 0.696232096118652 11.1514137544817 0.0314765221184097 0.0501947367140415 0.200092083540857
18000 298 12.8879600133025 12.9038769113719 25.4787982467816 1.08480065368431 0.143958918201249 0.229732438266889 0.738853545531321 0.966615849842629 11.9489889298134 0.122997986219177 0.0899217143471257 0.172755779223857
20000 298 12.9125080834842 12.7751341108203 25.7348644262656 1.40496639116865 0.16055062817475 0.0678774262212725 0.882689440914712 0.509726467747934 11.7074025023505 -0.034373306841458 0.144799392669753 0.00824929889144925
22000 298 12.7882445033539 12.7751713191261 25.9935041136379 1.74063857954065 0.0965566144923016 -0.0549911674888417 0.257288047415804 0.830709914654942 10.970548814107 -0.0877668472196592 0.0565692739753121 -0.107406930335418
24000 298 12.8020980252866 12.477466629982 26.254743173083 2.20252359144987 0.0400128455982402 -0.520570462529463 0.701371474699998 0.221210295306119 4.06746131644983 -0.0501543763411113 0.116847835066356 -0.432943736831651
26000 298 13.2512752584966 11.7615141731259 26.5186077287244 1.61595957634344 -3.51692720027055 -0.488749005761182 -0.139876875073309 0.0957350370651498 -0.671897196064211 0.0443265652873983 0.0728327672855147 0.114273121567459
28000 298 13.2494777975555 11.6700644847887 26.7851241672376 1.65862011418716 -3.90607451601324 0.0745595786950101 -0.00920954153452044 0.051364155166906 0.315504250917884 0.145868712794868 -0.2345029172438 0.353567136811078
30000 298 13.1765340819932 11.6295079152023 27.0543191404885 1.67020153814474 -3.5218372925701 -0.265623747602755 -0.220601350405788 -0.0322710843845175 1.55269248727755 0.0751265311088618 -0.042710062722756 -0.0806690584363111
32000 298 13.1215483664389 11.5792049277022 27.3262195681988 1.61184516789037 -2.86152401578822 0.12295202943398 -0.589765658624129 -0.143141436510417 2.36330077242085 -0.0616257555008926 0.1216459846476 0.00729898818679667
34000 298 13.1007691045384 11.5366372353876 27.6008526406379 1.49309311790798 -3.06180925577565 0.294631535673538 -0.0483482581218294 0.0990423785715711 3.92506058267538 -0.248813416171375 0.000639383437777914 0.140147648791664
36000 298 13.0771070411914 11.4624645194869 27.8782458213418 1.47685168853548 -2.8975586508875 0.228133228996317 -0.190340439378184 -0.315129860900148 4.95542422502706 -0.110113781176041 0.222007500214312 -0.0176356083361271
38000 298 13.0349581613928 11.445834793571 28.1584268498598 1.47484674718589 -2.93381600238804 0.751520260066189 -0.202575260402872 0.0294408165088805 6.06578738501921 -0.166145255970909 0.256358998748319 0.292976802957365
40000 298 13.0233864224973 11.3731085680778 28.4414237445282 1.5232443764647 -3.21117317690748 0.746715536899824 0.0446651287369694 0.0123378617822265 7.31511683815299 -0.0678735625033866 0.0813480200777256 0.102247589183437
