step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 -6.27716951349381e-16 6.5482994770699 3.55577236486478 3.67946372755302 1091.90853611791 15.3652797506684 15.5129214503634 67.9168597469931
2000 2 0.0499999999999993 0.86561040789819 0.322447743486481 1.99421049638541 990.700705536563 14.5954023985447 15.6100233736942 71.3127027343427
3000 3 0.0999999999999993 3.63125348800853 -0.234998368638426 -0.716301234277427 986.328335680966 14.1714779037902 15.3771876030131 74.7085457216924
4000 4 0.149999999999999 4.09338884260502 -0.626546999632738 -0.26600287337102 986.66778353001 13.8813785381724 15.128006762465 78.104388709042
5000 5 0.199999999999999 5.18762370285013 0.446747172772311 0.451768028804076 1006.61731919785 13.5027548148098 14.8686961938853 81.5002316963917
6000 6 0.249999999999999 7.40507708190797 5.35386066969526 1.09292298089871 1034.91310820878 13.1204625172539 14.6985758376051 84.8960746837413
7000 7 0.299999999999999 2.63088500860805 -0.296665584601834 -0.240631369291206 1044.579933941 12.6916578510247 14.6631913010435 88.291917671091
8000 8 0.349999999999999 3.09854104205927 0.572944117922031 0.272395902942845 1527.75526049392 12.5358855759018 14.439019663516 91.6877606584406
9000 9 0.399999999999999 3.60611189893002 0.380662797156386 1.11684321375275 965.044689758552 12.1796428334569 14.2596706092038 95.0836036457903
10000 10 0.449999999999999 3.3263530092414 0.192665803034604 0.216072929547807 996.756508572536 11.9886896062174 13.9032949037358 98.4794466331399
11000 11 0.499999999999999 2.69389175104318 -0.387919677363895 0.0934099348669498 1030.82698326622 11.6750862321902 13.7181341704027 101.87528962049
