# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_5.0e9_sxy_0_sxz_0_syz_0/W/bcc_001/stress_info.dat
# axis z
# fit_points 5
# l0 41.05040528783525
# strain stress
0.0000000000e+00 0.0000000000e+00
7.2496525824e-04 6.9543913043e-01
1.7261907528e-03 3.2135751625e-01
2.7284179737e-03 1.2349836792e+00
3.7316479230e-03 1.2737635953e+00
4.7358816041e-03 1.5988172475e+00
5.7411200211e-03 2.1356591430e+00
6.7473641794e-03 2.1030614745e+00
7.7546150851e-03 2.8010612529e+00
8.7628737455e-03 2.9038078201e+00
9.7721411688e-03 3.3929600118e+00
1.0782418364e-02 3.7573981953e+00
1.1793706342e-02 3.8200328157e+00
1.2806006114e-02 4.6093082371e+00
1.3819318692e-02 4.4748482737e+00
1.4833645090e-02 5.0289740481e+00
1.5848986321e-02 5.6515650350e+00
1.6865343401e-02 5.3376564953e+00
1.7882717347e-02 6.1829127925e+00
1.8901109175e-02 6.3955798793e+00
1.9920519904e-02 6.5173524515e+00
2.0940950555e-02 7.1923357925e+00
2.1962402146e-02 7.2030501218e+00
2.2984875700e-02 7.6134020755e+00
2.4008372238e-02 8.1731002091e+00
2.5032892785e-02 8.0471313100e+00
2.6058438366e-02 8.7196938391e+00
2.7085010004e-02 9.0177538286e+00
2.8112608728e-02 9.0523489650e+00
2.9141235564e-02 9.8793731791e+00
3.0170891542e-02 9.8347176435e+00
3.1201577691e-02 1.0197891912e+01
3.2233295041e-02 1.0731522357e+01
3.3266044625e-02 1.0801008896e+01
3.4299827475e-02 1.1114764521e+01
3.5334644625e-02 1.1646221157e+01
3.6370497109e-02 1.1805207598e+01
3.7407385964e-02 1.1889561449e+01
3.8445312227e-02 1.2754992014e+01
3.9484276935e-02 1.2661645985e+01
4.0524281127e-02 1.2965427519e+01
4.1565325844e-02 1.3532200816e+01
4.2607412126e-02 1.3514975345e+01
4.3650541016e-02 1.3823481909e+01
4.4694713556e-02 1.4401687551e+01
4.5739930791e-02 1.4350348975e+01
4.6786193766e-02 1.4660634696e+01
4.7833503528e-02 1.5092829969e+01
4.8881861123e-02 1.5428331473e+01
4.9931267600e-02 1.5431269444e+01
5.0981724008e-02 1.5891502957e+01
5.2033231398e-02 1.6345548089e+01
5.3085790821e-02 1.6169505491e+01
5.4139403331e-02 1.6486985881e+01
5.5194069979e-02 1.7115143452e+01
5.6249791822e-02 1.7300946500e+01
5.7306569915e-02 1.7262849867e+01
5.8364405315e-02 1.7848891633e+01
5.9423299078e-02 1.7939244703e+01
6.0483252266e-02 1.8157292211e+01
6.1544265936e-02 1.8324091836e+01
6.2606341152e-02 1.8672156317e+01
6.3669478973e-02 1.8869958998e+01
6.4733680464e-02 1.9066957746e+01
6.5798946689e-02 1.9532670991e+01
6.6865278713e-02 1.9600064913e+01
6.7932677602e-02 1.9817632486e+01
6.9001144424e-02 2.0162108801e+01
7.0070680247e-02 2.0331930425e+01
7.1141286141e-02 2.0445586866e+01
7.2212963176e-02 2.0889287948e+01
7.3285712425e-02 2.0898993750e+01
7.4359534959e-02 2.0937210168e+01
7.5434431853e-02 2.1804134890e+01
7.6510404181e-02 2.1518928019e+01
7.7587453020e-02 2.1821727499e+01
7.8665579446e-02 2.2398581770e+01
7.9744784538e-02 2.2258945269e+01
8.0825069375e-02 2.2405314093e+01
8.1906435038e-02 2.2977463730e+01
8.2988882606e-02 2.2736334265e+01
8.4072413164e-02 2.3101203971e+01
8.5157027794e-02 2.3576882550e+01
8.6242727581e-02 2.3341500963e+01
8.7329513611e-02 2.3709141937e+01
8.8417386971e-02 2.4157478762e+01
8.9506348748e-02 2.3901274094e+01
9.0596400031e-02 2.4369089684e+01
9.1687541911e-02 2.4468612369e+01
9.2779775479e-02 2.4556456968e+01
9.3873101827e-02 2.5016775456e+01
9.4967522047e-02 2.4983094786e+01
9.6063037236e-02 2.5037255920e+01
9.7159648487e-02 2.5559876210e+01
9.8257356898e-02 2.5473490653e+01
9.9356163567e-02 2.5583464584e+01
1.0045606959e-01 2.5939256239e+01
1.0155707607e-01 2.5948154557e+01
1.0265918411e-01 2.5792261118e+01
1.0376239481e-01 2.6547889734e+01
1.0486670927e-01 2.6166510409e+01
1.0597212860e-01 2.6233675861e+01
1.0707865389e-01 2.6806395324e+01
1.0818628627e-01 2.6413038636e+01
1.0929502684e-01 2.6934851944e+01
1.1040487670e-01 2.6928271705e+01
1.1151583696e-01 2.6944194054e+01
1.1262790874e-01 2.7277966932e+01
1.1374109315e-01 2.6936736504e+01
1.1485539130e-01 2.7416637122e+01
1.1597080430e-01 2.7534260020e+01
1.1708733328e-01 2.7375639634e+01
1.1820497934e-01 2.7287802977e+01
1.1932374361e-01 2.7409247430e+01
1.2044362720e-01 2.7525920646e+01
1.2156463124e-01 2.7389042448e+01
1.2268675684e-01 2.7655557668e+01
1.2381000513e-01 2.7226460206e+01
1.2493437722e-01 2.7384062785e+01
1.2605987426e-01 2.7553547983e+01
1.2718649735e-01 2.7222854984e+01
1.2831424763e-01 2.6970811928e+01
1.2944312622e-01 2.7150603762e+01
