step time_ps strain stress_z_GPa stress_x_GPa stress_y_GPa temp_K lx_A ly_A lz_A
1000 1 0 -1.6134939482938 2.34317533593916 -0.90930444836833 308.359218308445 15.3872560082585 16.3771708836606 65.3679761466857
2000 2 0.00500000000000003 -1.27349762850764 -0.573072299341218 -0.0431540143300353 326.640127820472 14.8921482393349 16.735359779667 65.6948160274191
3000 3 0.0100000000000001 -0.755888548722218 -0.247059767940484 -0.296542873054966 303.349727249559 14.8765013844908 16.6713166952508 66.0216559081526
4000 4 0.0150000000000001 -0.604831039049907 -0.104025991325681 -0.144173195501655 301.185889243435 14.8044385961623 16.683184377386 66.348495788886
5000 5 0.0199999999999999 -0.35258930092177 0.0999469018893586 -0.174364485911617 314.801226148969 14.7586502476518 16.6711746557915 66.6753356696194
6000 6 0.025 0.12357986976279 0.145142915871514 -0.032295482352478 291.918516715575 14.7433425192339 16.6485137585631 67.0021755503528
7000 7 0.03 -0.252829444618362 -0.37175669642967 -0.250096222219305 291.424476622809 14.6678845197036 16.6129432268866 67.3290154310863
8000 8 0.035 0.582340019283503 0.000122277583368006 0.281771579516039 301.58819243524 14.6739465968225 16.5694733633898 67.6558553118197
9000 9 0.04 0.907187840825836 -0.414663135727686 -0.456902614541124 297.382502912529 14.6996525096685 16.4463090756938 67.9826951925531
10000 10 0.0450000000000001 0.722292540640048 -0.313930238180937 -0.161557442880691 293.191456240155 14.65455116798 16.4289630181681 68.3095350732866
11000 11 0.0500000000000001 0.735551805297161 0.0311363181863797 0.290520940488115 302.093787904592 14.6598328957843 16.3789162543342 68.63637495402
12000 12 0.0550000000000002 1.30399174286607 0.152975614107467 0.12334778824675 295.173343605098 14.6724186700971 16.2986002757786 68.9632148347534
13000 13 0.06 1.94780164526891 0.292549601362644 0.391837566760578 288.895148757393 14.6545129337737 16.2745527913081 69.2900547154868
14000 14 0.065 1.5865015803786 -0.176269374969592 0.0717224940890816 313.977664840786 14.6452462642377 16.1709030786625 69.6168945962203
15000 15 0.07 3.06572542038417 0.490266750955259 0.473645871462555 306.977619832193 14.6535071851629 16.1478544893966 69.9437344769537
16000 16 0.0750000000000001 2.28134675794261 -0.352009276927211 -0.147176911314269 298.020920847433 14.5770578520437 16.0986428665835 70.2705743576871
17000 17 0.0800000000000001 2.69722844044093 -0.0796002082122171 0.186597207281184 302.799940064246 14.5628072076245 16.086314405617 70.5974142384206
18000 18 0.0849999999999999 2.62458817662872 -0.00300561958701428 -0.00231422689827767 295.879783967286 14.5855773111566 15.9752163401517 70.924254119154
19000 19 0.0900000000000002 2.58480637503862 0.0314968247468552 0.384736903341602 307.528966873129 14.6151498871567 15.9007367328209 71.2510939998874
20000 20 0.095 2.74566279170716 -0.275028890139956 0.292600201861964 322.499887022753 14.5564944022405 15.8765730407262 71.5779338806208
21000 21 0.1 2.90898744904797 -0.205628182452604 -0.0812093511792801 300.539738264342 14.5497607983071 15.8221623271846 71.9047737613543
22000 22 0.105 3.4407541242054 0.761084810927383 0.0284561106545965 300.277380596667 14.6216703246516 15.7324855979783 72.2316136420877
23000 23 0.11 2.56209858471284 0.0880880554622653 -0.284464490412083 297.623607598578 14.5851896264364 15.647904152369 72.5584535228211
24000 24 0.115 2.94776130736659 0.0115629960219888 0.0670516618198203 300.161275996864 14.5381354350601 15.6553297405983 72.8852934035546
25000 25 0.12 2.41063332336921 -0.231199840997032 -0.103094064988945 301.391390773748 14.4920304567266 15.6087886049474 73.212133284288
26000 26 0.125 3.18835065452882 0.0330522837565131 -0.256295438689568 310.881401538528 14.4585381954919 15.5841072126291 73.5389731650214
27000 27 0.13 4.02465984393429 0.768110635752634 0.692668266946215 306.463528350781 14.445330062175 15.5905993379258 73.8658130457548
28000 28 0.135 3.60401117520905 -0.251518130437658 -0.0589842027243396 301.823669366934 14.3497141248848 15.5617460852449 74.1926529264883
