# source /gauss9/home/cityu/chefan/scratch/run/lammps/calc/DPA/3.1/DPA1_7ele_cry260226/straining/20_20_40/300K/nose_hoover/sxx_0_syy_0_szz_1.0e10_sxy_0_sxz_0_syz_0/Zr/hcp_0001/stress_info.dat
# axis z
# fit_points 5
# l0 41.70886309876614
# strain stress
0.0000000000e+00 0.0000000000e+00
3.3926400962e-03 3.0618681154e-01
5.4014335002e-03 4.4492505396e-01
7.4142485112e-03 5.7237147742e-01
9.4310931807e-03 7.7429340755e-01
1.1451975576e-02 9.6532341436e-01
1.3476903780e-02 1.2906121276e+00
1.5505885894e-02 1.6207165383e+00
1.7538930032e-02 1.8359155190e+00
1.9576044327e-02 2.0561026361e+00
2.1617236928e-02 2.2785249672e+00
2.3662515999e-02 2.4875404053e+00
2.5711889722e-02 2.6248387416e+00
2.7765366293e-02 2.7856619203e+00
2.9822953928e-02 3.1353577690e+00
3.1884660855e-02 3.4078759968e+00
3.3950495323e-02 3.7341531219e+00
3.6020465594e-02 3.8533135455e+00
3.8094579948e-02 4.0264623839e+00
4.0172846682e-02 4.1921350030e+00
4.2255274108e-02 4.4091703021e+00
4.4341870557e-02 4.6733266448e+00
4.6432644375e-02 4.9569796159e+00
4.8527603925e-02 5.1766168008e+00
5.0626757587e-02 5.3724593043e+00
5.2730113757e-02 5.5482174190e+00
5.4837680850e-02 5.7341321562e+00
5.6949467294e-02 5.8290267943e+00
5.9065481537e-02 6.0944384519e+00
6.1185732044e-02 6.3244057391e+00
6.3310227295e-02 6.6001377083e+00
6.5438975789e-02 6.7621277102e+00
6.7571986040e-02 6.9526328379e+00
6.9709266580e-02 7.2079936814e+00
7.1850825958e-02 7.2768331859e+00
7.3996672742e-02 7.4441265544e+00
7.6146815513e-02 7.6615751521e+00
7.8301262874e-02 7.7132806512e+00
8.0460023440e-02 7.8994960423e+00
8.2623105849e-02 8.1803718395e+00
8.4790518751e-02 8.3305447191e+00
8.6962270816e-02 8.5497060426e+00
8.9138370733e-02 8.7282131241e+00
9.1318827204e-02 8.8390589507e+00
9.3503648952e-02 8.8189572082e+00
9.5692844716e-02 9.1122764167e+00
9.7886423252e-02 9.0883325790e+00
1.0008439334e-01 9.1967535862e+00
1.0228676376e-01 9.4264791107e+00
1.0449354333e-01 9.6017746947e+00
1.0670474088e-01 9.7842744319e+00
1.0892036525e-01 1.0001319771e+01
1.1114042530e-01 1.0163732817e+01
1.1336492991e-01 1.0187452243e+01
1.1559388798e-01 1.0214956195e+01
1.1782730844e-01 1.0180964699e+01
1.2006520020e-01 1.0179461392e+01
1.2230757222e-01 1.0157994990e+01
1.2455443348e-01 1.0084759003e+01
1.2680579296e-01 9.8859737500e+00
1.2906165966e-01 9.2377637896e+00
1.3132204261e-01 7.4156697110e+00
1.3358695084e-01 4.2535723897e+00
1.3585639343e-01 2.2115918586e+00
1.3813037945e-01 1.5228207390e+00
1.4040891799e-01 1.7863500638e+00
1.4269201816e-01 1.9986983166e+00
1.4497968911e-01 2.0841919408e+00
1.4727193997e-01 1.9147973422e+00
1.4956877992e-01 1.5661480541e+00
1.5187021816e-01 1.1101617077e+00
1.5417626387e-01 3.1688416681e-01
1.5648692629e-01 -8.8261411836e-01
1.5880221466e-01 -2.0122171318e+00
1.6112213824e-01 -1.9356044621e+00
1.6344670631e-01 -1.8623479791e+00
1.6577592817e-01 -1.3673418573e+00
1.6810981313e-01 -9.8879003044e-01
1.7044837053e-01 -6.8514091896e-01
1.7279160973e-01 -5.7627441279e-01
1.7513954010e-01 -5.2411573988e-01
1.7749217103e-01 -5.3475367832e-01
1.7984951192e-01 -5.1162358709e-01
1.8221157222e-01 -3.8450127936e-01
1.8457836136e-01 5.2930023415e-02
1.8694988882e-01 2.8934471350e-02
1.8932616409e-01 3.4741667379e-01
1.9170719665e-01 5.1468978325e-01
1.9409299605e-01 6.2566377281e-01
1.9648357182e-01 5.3730559422e-01
1.9887893353e-01 5.5820643196e-01
2.0127909075e-01 6.8734765153e-01
2.0368405309e-01 7.2382821422e-01
2.0609383017e-01 7.6346724306e-01
2.0850843163e-01 1.0370210465e+00
2.1092786712e-01 6.3890578124e-01
2.1335214633e-01 7.3391451679e-01
2.1578127894e-01 7.4541424160e-01
2.1821527469e-01 1.0268111161e+00
2.2065414329e-01 1.3374713699e+00
2.2309789451e-01 1.2344881755e+00
2.2554653813e-01 1.2902979021e+00
