# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
37 2.19 0.0821237 0.015625
38 2.25 0.155605 0.046875
39 2.31 0.479788 0.148438
40 2.37 0.560989 0.273438
41 2.43 0.900499 0.484375
42 2.49 0.825863 0.6875
43 2.55 1.6052 1.10156
44 2.61 1.64789 1.54688
45 2.67 2.21006 2.17188
46 2.73 2.35181 2.86719
47 2.79 2.42885 3.61719
48 2.85 2.13369 4.30469
49 2.91 1.90707 4.94531
50 2.97 2.36664 5.77344
51 3.03 1.99498 6.5
52 3.09 1.89763 7.21875
53 3.15 2.1039 8.04688
54 3.21 1.49082 8.65625
55 3.27 1.17876 9.15625
56 3.33 1.34979 9.75
57 3.39 1.18248 10.2891
58 3.45 0.976241 10.75
59 3.51 0.751324 11.1172
60 3.57 0.571754 11.4062
61 3.63 0.702472 11.7734
62 3.69 0.636421 12.1172
63 3.75 0.616219 12.4609
64 3.81 0.542694 12.7734
65 3.87 0.460248 13.0469
66 3.93 0.497308 13.3516
67 3.99 0.556689 13.7031
68 4.05 0.444261 13.9922
69 4.11 0.559634 14.3672
70 4.17 0.577623 14.7656
71 4.23 0.649409 15.2266
72 4.29 0.642072 15.6953
73 4.35 0.655706 16.1875
74 4.41 0.729126 16.75
75 4.47 0.650544 17.2656
76 4.53 1.00772 18.0859
77 4.59 0.841328 18.7891
78 4.65 1.13855 19.7656
79 4.71 0.932171 20.5859
80 4.77 1.28973 21.75
81 4.83 1.11437 22.7812
82 4.89 1.16955 23.8906
83 4.95 1.32624 25.1797
84 5.01 1.30251 26.4766
85 5.07 1.40978 27.9141
86 5.13 1.33209 29.3047
87 5.19 1.04556 30.4219
88 5.25 1.18615 31.7188
89 5.31 1.13854 32.9922
90 5.37 1.16105 34.3203
91 5.43 1.12217 35.6328
92 5.49 1.33302 37.2266
93 5.55 1.13811 38.6172
94 5.61 1.10138 39.9922
95 5.67 1.1027 41.3984
96 5.73 1.10972 42.8438
97 5.79 1.12209 44.3359
98 5.85 1.12221 45.8594
99 5.91 0.986765 47.2266
100 5.97 0.928349 48.5391
600 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.0431732 0.0078125
37 2.19 0.0816802 0.0234375
38 2.25 0.193456 0.0625
39 2.31 0.330367 0.132812
40 2.37 0.627704 0.273438
41 2.43 0.663433 0.429688
42 2.49 1.45325 0.789062
43 2.55 1.2953 1.125
44 2.61 1.58148 1.55469
45 2.67 2.03326 2.13281
46 2.73 1.91859 2.70312
47 2.79 2.0886 3.35156
48 2.85 2.50801 4.16406
49 2.91 2.84515 5.125
50 2.97 1.90973 5.79688
51 3.03 2.11221 6.57031
52 3.09 1.88738 7.28906
53 3.15 1.61876 7.92969
54 3.21 1.76792 8.65625
55 3.27 1.59373 9.33594
56 3.33 1.53681 10.0156
57 3.39 1.03973 10.4922
58 3.45 0.78994 10.8672
59 3.51 0.699568 11.2109
60 3.57 0.599404 11.5156
61 3.63 0.713543 11.8906
62 3.69 0.647369 12.2422
63 3.75 0.585032 12.5703
64 3.81 0.485787 12.8516
65 3.87 0.496998 13.1484
66 3.93 0.456574 13.4297
67 3.99 0.504466 13.75
68 4.05 0.549341 14.1094
69 4.11 0.417458 14.3906
70 4.17 0.551974 14.7734
71 4.23 0.634954 15.2266
72 4.29 0.649247 15.7031
73 4.35 0.714275 16.2422
74 4.41 0.624467 16.7266
75 4.47 0.921527 17.4609
76 4.53 0.964097 18.25
77 4.59 0.864676 18.9766
78 4.65 1.05993 19.8906
79 4.71 1.05958 20.8281
80 4.77 1.24832 21.9609
81 4.83 1.00759 22.8984
82 4.89 1.23696 24.0781
83 4.95 1.21515 25.2656
84 5.01 1.12379 26.3906
85 5.07 1.46313 27.8906
86 5.13 1.29512 29.25
87 5.19 1.20718 30.5469
88 5.25 1.15131 31.8125
89 5.31 1.24354 33.2109
90 5.37 1.1276 34.5078
91 5.43 1.24234 35.9688
92 5.49 1.07885 37.2656
93 5.55 1.1256 38.6484
94 5.61 1.21991 40.1797
95 5.67 1.13939 41.6406
96 5.73 1.07986 43.0547
97 5.79 1.0985 44.5234
98 5.85 1.00167 45.8906
99 5.91 0.914136 47.1641
100 5.97 1.04425 48.6484
800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
