# source Cu/fcc/DPA3_7ele_cryfinal/298k/strain/100/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 21.6787296614458
# strain stress
0.0000000000e+00 0.0000000000e+00
9.3991342590e-03 5.9587345256e-01
1.9543764213e-02 1.0961832872e+00
2.9790349393e-02 1.5835051705e+00
4.0139914466e-02 2.1136597339e+00
5.0593494397e-02 2.9160055148e+00
6.1152134553e-02 3.5669796438e+00
7.1816890807e-02 4.3599158887e+00
8.2588829644e-02 5.4744485662e+00
9.3469028265e-02 6.6055676173e+00
1.0445857470e-01 7.6863193427e+00
1.1555856791e-01 8.8028170373e+00
1.2677011791e-01 8.8738024927e+00
1.3809434586e-01 4.9161626372e+00
1.4953238420e-01 7.4434182201e-01
1.6108537673e-01 1.1136213863e+00
1.7275447876e-01 -1.5904218929e+00
1.8454085722e-01 -2.6138371210e+00
1.9644569076e-01 -2.5419271353e+00
2.0847016986e-01 -9.0387643770e-01
2.2061549698e-01 -2.1121403678e+00
2.3288288667e-01 7.7070893086e-01
