# source Nb/bcc/DPA3_7ele_cryfinal/298k/strain/001/sxx_0_syy_0_szz_5.0e10_sxy_0_sxz_0_syz_0.dat
# axis z
# fit_points 5
# l0 23.25036668118619
# strain stress
0.0000000000e+00 0.0000000000e+00
3.1394855984e-03 1.4505519561e+00
1.3221205037e-02 1.6042491458e+00
2.3404247441e-02 2.2529308522e+00
3.3689631123e-02 4.7506386862e+00
4.4078384629e-02 6.2198951248e+00
5.4571546843e-02 6.4121470748e+00
6.5170167091e-02 8.5310356613e+00
7.5875305243e-02 1.0476546581e+01
8.6688031823e-02 1.0322946734e+01
9.7609428111e-02 1.1705044707e+01
1.0864058626e-01 1.3415932572e+01
1.1978260938e-01 1.2391450505e+01
1.3103661171e-01 8.9285439902e+00
1.4240371863e-01 5.3228109118e+00
1.5388506688e-01 2.9705499863e+00
1.6548180460e-01 -5.0301676751e-01
1.7719509147e-01 -1.7372527197e+00
1.8902609883e-01 -2.5499475079e+00
2.0097600979e-01 -1.8724541568e+00
2.1304601935e-01 -3.1592518074e+00
2.2523733453e-01 -4.8799809415e+00
