# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
36 2.13 0.0369233 0.015625
37 2.19 0.17464 0.0546875
38 2.25 0.16545 0.09375
39 2.31 0.690657 0.265625
40 2.37 0.864901 0.492188
41 2.43 1.61707 0.9375
42 2.49 1.72921 1.4375
43 2.55 2.44744 2.17969
44 2.61 2.50835 2.97656
45 2.67 2.58488 3.83594
46 2.73 2.47251 4.69531
47 2.79 2.73317 5.6875
48 2.85 2.16557 6.50781
49 2.91 2.13654 7.35156
50 2.97 1.88016 8.125
51 3.03 1.4415 8.74219
52 3.09 1.31589 9.32812
53 3.15 1.09741 9.83594
54 3.21 0.975476 10.3047
55 3.27 0.830341 10.7188
56 3.33 0.785582 11.125
57 3.39 0.699711 11.5
58 3.45 0.562988 11.8125
59 3.51 0.51671 12.1094
60 3.57 0.552066 12.4375
61 3.63 0.432259 12.7031
62 3.69 0.393709 12.9531
63 3.75 0.488428 13.2734
64 3.81 0.530869 13.6328
65 3.87 0.458608 13.9531
66 3.93 0.466405 14.2891
67 3.99 0.557712 14.7031
68 4.05 0.653657 15.2031
69 4.11 0.783473 15.8203
70 4.17 0.684017 16.375
71 4.23 0.739652 16.9922
72 4.29 0.928467 17.7891
73 4.35 1.06239 18.7266
74 4.41 1.30933 19.9141
75 4.47 0.997731 20.8438
76 4.53 1.04495 21.8438
77 4.59 1.04166 22.8672
78 4.65 1.31712 24.1953
79 4.71 1.17805 25.4141
80 4.77 1.31059 26.8047
81 4.83 1.3285 28.25
82 4.89 1.29609 29.6953
83 4.95 1.29905 31.1797
84 5.01 1.34154 32.75
85 5.07 1.14704 34.125
86 5.13 1.14583 35.5312
87 5.19 1.219 37.0625
88 5.25 1.18522 38.5859
89 5.31 1.26553 40.25
90 5.37 1.06894 41.6875
91 5.43 1.01136 43.0781
92 5.49 1.15612 44.7031
93 5.55 0.940901 46.0547
94 5.61 1.18171 47.7891
95 5.67 1.01093 49.3047
96 5.73 1.01538 50.8594
97 5.79 0.80455 52.1172
98 5.85 0.86156 53.4922
99 5.91 0.791395 54.7812
100 5.97 0.742665 56.0156
600 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0.139677 0.03125
38 2.25 0.363901 0.117188
39 2.31 0.721872 0.296875
40 2.37 0.983954 0.554688
41 2.43 1.1345 0.867188
42 2.49 1.78281 1.38281
43 2.55 2.03473 2
44 2.61 2.75359 2.875
45 2.67 2.7252 3.78125
46 2.73 2.74156 4.73438
47 2.79 2.81856 5.75781
48 2.85 2.59804 6.74219
49 2.91 1.99756 7.53125
50 2.97 1.67084 8.21875
51 3.03 1.51412 8.86719
52 3.09 1.15769 9.38281
53 3.15 0.776434 9.74219
54 3.21 1.04025 10.2422
55 3.27 0.814473 10.6484
56 3.33 0.709869 11.0156
57 3.39 0.597522 11.3359
58 3.45 0.633205 11.6875
59 3.51 0.706902 12.0938
60 3.57 0.525647 12.4062
61 3.63 0.470283 12.6953
62 3.69 0.381312 12.9375
63 3.75 0.428757 13.2188
64 3.81 0.507662 13.5625
65 3.87 0.391398 13.8359
66 3.93 0.639793 14.2969
67 3.99 0.620696 14.7578
68 4.05 0.602441 15.2188
69 4.11 0.62464 15.7109
70 4.17 0.780165 16.3438
71 4.23 0.982838 17.1641
72 4.29 0.791732 17.8438
73 4.35 0.955915 18.6875
74 4.41 1.11093 19.6953
75 4.47 1.08969 20.7109
76 4.53 1.14263 21.8047
77 4.59 1.2322 23.0156
78 4.65 1.10766 24.1328
79 4.71 1.29101 25.4688
80 4.77 1.16304 26.7031
81 4.83 1.36406 28.1875
82 4.89 1.23974 29.5703
83 4.95 1.27822 31.0312
84 5.01 1.33454 32.5938
85 5.07 1.21192 34.0469
86 5.13 1.31102 35.6562
87 5.19 1.26223 37.2422
88 5.25 1.16062 38.7344
89 5.31 1.26522 40.3984
90 5.37 1.19064 42
91 5.43 0.948622 43.3047
92 5.49 1.11693 44.875
93 5.55 1.2071 46.6094
